lectureId
introduction
generalisation-and-neural-networks
automatic-differentiation
stochastic-gradient-descent
hardware
summary
convolutional-neural-networks
recurrent-neural-networks
transformers
q-and-a-2
representation
data-in-developing-world
continual-learning
