lectureId
uncertainty-and-modelling
gaussian-distributions-to-processes
covariance-functions
optimizing-parameters
multi-output-gps
approximate-gps
non-gaussian-likelihoods
unsupervised-learning-with-gps
latent-force-models
bayesian-learning-gplvm
deep-gps-I
deep-gps-II
emulation
