lectureId
the-data-science-landscape
review-and-refresher
the-challenges-of-data-science
practical-one-sqlite
practical-one
the-challenges-of-data-science-ii
practical-two
a-data-science-process
review-and-refresher-II
practical-three
introduction-to-statistical-learning
generalised-linear-models
visualisation
inference
inference-ii
